query,category,mode,k,temp,label,answer,citations,raw_response,used_citation
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,rag,2,0.0,ABSTAIN,"The user's question lacks specific details about the ticket type, such as whether it is a Basic Economy fare, the exact date of booking, and other relevant information required to determine eligibility for a refund under the American Airlines policies. Therefore, based solely on the available evidence, we cannot make a definitive statement about whether Basic Economy tickets are eligible for a refund after the 24-hour window.","['aa_non_refundable', 'aa_refund_eligibility']","ABSTAIN
The user's question lacks specific details about the ticket type, such as whether it is a Basic Economy fare, the exact date of booking, and other relevant information required to determine eligibility for a refund under the American Airlines policies. Therefore, based solely on the available evidence, we cannot make a definitive statement about whether Basic Economy tickets are eligible for a refund after the 24-hour window.",False
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,rag,2,0.7,ABSTAIN,"The question lacks specific details about the ticket type, such as whether it's a Basic Economy ticket, and when it was purchased. Therefore, based solely on the available information, we cannot determine if the ticket is eligible for a refund under the given conditions.","['aa_non_refundable', 'aa_refund_eligibility']","ABSTAIN
The question lacks specific details about the ticket type, such as whether it's a Basic Economy ticket, and when it was purchased. Therefore, based solely on the available information, we cannot determine if the ticket is eligible for a refund under the given conditions.",False
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,rag,5,0.0,ABSTAIN,"The user's question lacks specific details about the ticket type, such as whether it is a Basic Economy fare, the exact date of purchase, and the reason for cancellation. Without this information, it's impossible to determine if the ticket is eligible for a refund based on the available evidence.","['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","ABSTAIN
The user's question lacks specific details about the ticket type, such as whether it is a Basic Economy fare, the exact date of purchase, and the reason for cancellation. Without this information, it's impossible to determine if the ticket is eligible for a refund based on the available evidence.",False
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,rag,5,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,llm_only,NA,0.0,NO_REFUND,"Basic Economy tickets are typically non-refundable once purchased due to their lower fare structure and lack of amenities compared to other economy classes. The 24-hour window mentioned does not apply to refunds; it refers to the time limit within which passengers can request a change of seat class without additional fees. Therefore, Basic Economy tickets cannot be refunded under normal circumstances.",NA,"NO_REFUND

Basic Economy tickets are typically non-refundable once purchased due to their lower fare structure and lack of amenities compared to other economy classes. The 24-hour window mentioned does not apply to refunds; it refers to the time limit within which passengers can request a change of seat class without additional fees. Therefore, Basic Economy tickets cannot be refunded under normal circumstances.",NA
Are Basic Economy tickets eligible for any kind of refund after the 24-hour window?,normal,llm_only,NA,0.7,NO_REFUND,"Basic Economy tickets are typically non-refundable once purchased due to their lower fare structure and higher risk for airlines. While some airlines may offer exceptions under certain circumstances like special promotions or cancellations with no prior notice, there is generally no guarantee for refunds beyond the initial purchase period.",NA,"NO_REFUND

Basic Economy tickets are typically non-refundable once purchased due to their lower fare structure and higher risk for airlines. While some airlines may offer exceptions under certain circumstances like special promotions or cancellations with no prior notice, there is generally no guarantee for refunds beyond the initial purchase period.",NA
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,retrieval_only,NA,NA,CREDIT,"Based on the retrieved policy text, this situation is eligible for a credit rather than a refund. See: ['aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure', 'aa_flight_delays', 'aa_travel_credit']","['aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure', 'aa_flight_delays', 'aa_travel_credit']","[aa_force_majeure] involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost of an approved hotel with available rooms if you’re away from your city of residence. We don’t guarantee reimbursement for hotel expenses if you book directly without written authorization from American Airlines. Delays beyond our control (like weather) If the delay is beyond our control, or you book your own arrangements without written authorization from American Airlines, you're responsible to pay for your hotel, meals and other expenses. An American Airlines agent may be able to help you find a hotel. Taking care of delayed passengers We'll do our best to ensure delayed passengers are as comfortable as possible. Gate agents are asked to look after customers with special needs including unaccompanied minors, customers with disabilities and the elderly. For long delays on the plane, we'll make every reasonable effort to ensure you have food (such as crackers or biscuits), water, access to the restroom and basic medical assistance if
[aa_flight_delays] involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost of an approved hotel with available rooms if you’re away from your city of residence. We don’t guarantee reimbursement for hotel expenses if you book directly without written authorization from American Airlines. Delays beyond our control (like weather) If the delay is beyond our control, or you book your own arrangements without written authorization from American Airlines, you're responsible to pay for your hotel, meals and other expenses. An American Airlines agent may be able to help you find a hotel. Taking care of delayed passengers We'll do our best to ensure delayed passengers are as comfortable as possible. Gate agents are asked to look after customers with special needs including unaccompanied minors, customers with disabilities and the elderly. For long delays on the plane, we'll make every reasonable effort to ensure you have food (such as crackers or biscuits), water, access to the restroom and basic medical assistance if
[aa_force_majeure] be expanded Our goal is to provide timely, frequent and helpful updates – from the time you are ticketed, at the airport and on board – when there are delays, cancellations and diversions. Rebooking your delayed / canceled flight When your flight is canceled or a delay could cause you to miss your connection, we'll rebook you on the next American Airlines flight with available seats at no additional cost. If no American flights are available until the next day, and the disruption is caused by us, we’ll rebook you on one of our partner airlines with available seats at no additional cost. We’ll rebook you in your originally ticketed cabin or class with your original form of payment. If your flight was delayed or canceled and you don’t accept our alternative arrangements, or none were available, we'll refund the remaining ticket value and any optional fees according to our involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost
[aa_flight_delays] be expanded Our goal is to provide timely, frequent and helpful updates – from the time you are ticketed, at the airport and on board – when there are delays, cancellations and diversions. Rebooking your delayed / canceled flight When your flight is canceled or a delay could cause you to miss your connection, we'll rebook you on the next American Airlines flight with available seats at no additional cost. If no American flights are available until the next day, and the disruption is caused by us, we’ll rebook you on one of our partner airlines with available seats at no additional cost. We’ll rebook you in your originally ticketed cabin or class with your original form of payment. If your flight was delayed or canceled and you don’t accept our alternative arrangements, or none were available, we'll refund the remaining ticket value and any optional fees according to our involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost
[aa_travel_credit] Travel credit − Customer service − American Airlines Enable JavaScript Please enable JavaScript to fully experience this site. How to enable JavaScript Home Payment options Travel credit Travel credit Understanding travel credit options We offer different types of travel credit: Trip Credit, Flight Credit and Travel Vouchers. Each type of travel credit has its own terms and conditions, so be sure to read them carefully before redeeming your credit. Keep in mind, travel credits can only be used to book flights and pay for bags online. They can’t be used to pay for extras like seats. Types of travel credit Description Trip Credit Flight Credit Travel Voucher Issued for Canceled tickets, significant delays, compensation, refunds and remaining value when exchanging tickets, eligible online bag and paid upgrade charges. Unused tickets Paper voucher Valid for Non-award trips starting in the U.S. and select countries and eligible online bag payments* Non-award trips* Flights only* Maximum per reservation 8 for up to 9 passengers booked on aa.com; contact Reservations for more than 9 passengers** 1 booked on aa.com; contact Reservations to book with more than 1 Flight Credit Up to 8 Who can use it Trip Credit holder to book travel or eligible",True
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,rag,2,0.0,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_force_majeure', 'aa_flight_delays']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,rag,2,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_force_majeure', 'aa_flight_delays']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,rag,5,0.0,ABSTAIN,"The user's question lacks specific details such as the ticket type, fare rules, cancellation reason, and whether the passenger was traveling internationally or domestically. This makes it difficult to determine if American Airlines would provide hotel vouchers for delays caused by weather based solely on the given evidence.","['aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure', 'aa_flight_delays', 'aa_travel_credit']","ABSTAIN
The user's question lacks specific details such as the ticket type, fare rules, cancellation reason, and whether the passenger was traveling internationally or domestically. This makes it difficult to determine if American Airlines would provide hotel vouchers for delays caused by weather based solely on the given evidence.",False
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,rag,5,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure', 'aa_flight_delays', 'aa_travel_credit']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,llm_only,NA,0.0,NO_REFUND,"American Airlines does not typically offer hotel vouchers for delays due to weather conditions. These types of issues are usually covered under their baggage delay compensation program, which provides reimbursement for lost or delayed luggage rather than direct hotel accommodations.",NA,"NO_REFUND

American Airlines does not typically offer hotel vouchers for delays due to weather conditions. These types of issues are usually covered under their baggage delay compensation program, which provides reimbursement for lost or delayed luggage rather than direct hotel accommodations.",NA
Does American Airlines provide hotel vouchers for delays caused by weather?,normal,llm_only,NA,0.7,NO_REFUND,American Airlines does not typically issue hotel vouchers for delayed flights due to weather conditions. Such requests are generally handled through their customer service channels where passengers can request alternative accommodations.,NA,"NO_REFUND

American Airlines does not typically issue hotel vouchers for delayed flights due to weather conditions. Such requests are generally handled through their customer service channels where passengers can request alternative accommodations.",NA
What is the difference between a Flight Credit and a Trip Credit?,normal,retrieval_only,NA,NA,NO_REFUND,"Based on the retrieved policy text, this type of ticket/situation is not eligible for a refund. See: ['aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit']","['aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit']","[aa_travel_credit] and usage You may redeem Trip Credit on aa.com or by contacting Reservations. Trip Credit is not redeemable through any other channels, including airport ticket counters or travel agencies. When contacting Reservations, tell the agent you have Trip Credit and you want to use it to book your travel. Trip Credit is redeemable toward air travel on flights operated by American, American Eagle ® or flights marketed by American (designated with an AA*). You can’t use Trip Credit for payment of air travel on any other airline on aa.com. Contact Reservations to use Trip Credit for qualifying one world ® or other airline partner itineraries. Trip Credit is redeemable toward the base air fare and directly associated taxes, fees and charges collected as part of the fare calculation. Trip Credit is redeemable toward online bag payments. Trip Credit currency must match point-of-sale currency when redeemed toward online payments. Trip Credit is not redeemable toward eligible online bag payments or air travel when paid from Australia, China, Colombia, Croatia, Czech Republic, Guatemala, Hong Kong, Hungary, Iceland, Japan, Korea, Mexico, New Zealand, Norway, Paraguay, Peru, Poland and Singapore. You may not use Trip Credit for products and / or services sold separate
[aa_travel_credit] transaction on aa.com or through Reservations. If the ticket price is greater than the value of the Trip Credit, you may pay the difference only with a credit card accepted by American. If the ticket price is less than the value of the Trip Credit, we’ll issue a new Trip Credit for the difference. For personal trips, the Trip Credit will be emailed to the customer who is ticketed on the Trip Credit redemption. For AAdvantage Business℠ travel, remaining Trip Credit is issued back to the company account. If changing a business trip with Reservations and the new ticket price is lower than the original trip, any difference in trip value will be issued as Trip Credit to the traveler. You may not combine Trip Credit with the value of an existing ticket to pay for a new ticket. Child and infant fares on international flights cannot be booked with Trip Credit. Flight Credit Step 1: Find your canceled trip or confirmation email You'll need your 6-character confirmation code or 13-digit ticket number. American tickets have a 13-digit number that begins with '001'. Keep in mind there are separate ticket numbers for add-ons like seats, upgrades and bags. Step 2:
[aa_travel_credit] select ‘Add travel credit’ Follow the prompts to apply your Trip Credit Pay any remaining balance Pay for bags with Trip Credit Manage your trip or check in on aa.com or American app On the ‘Review and pay’ page, select ‘Add travel credit’ Follow the prompts to apply your Trip Credit Pay any remaining balance Book a trip with your Trip Credit Trip Credit terms and conditions This content can be expanded General rules Trip Credit is non-refundable, non-transferable, non-returnable, may not be redeemed for cash, check or credit (except where required by law) and has no implied warranties, including warranties of merchantability or fitness. Trip Credit is void if bought, sold or bartered, advertised for sale or used for commercial or promotional purposes. We won’t replace Trip Credit if lost or stolen. This may include inadvertent deletion, forwarding or access of the email containing your Trip Credit number. Please guard the Trip Credit number as you would cash. Except where prohibited by law, we reserve the right to refuse, void, cancel, reject or hold for review any Trip Credit mistakenly issued in an incorrect denomination or issued or obtained, directly or indirectly, in connection with fraudulent actions, fraudulent claims,
[aa_travel_credit] Trip Credit. Flight Credit Step 1: Find your canceled trip or confirmation email You'll need your 6-character confirmation code or 13-digit ticket number. American tickets have a 13-digit number that begins with '001'. Keep in mind there are separate ticket numbers for add-ons like seats, upgrades and bags. Step 2: View your canceled trip Go to aa.com and choose ‘Manage trips / Check-in’ Choose ‘View travel credits’ and enter your confirmation code or 13-digit ticket number Access your Flight Credit details on the ‘Your trip’ page Copy your Flight Credit number to use on the payment page Find your trip to use your Flight Credit Step 3: Rebook and add Flight Credit Go to aa.com and book your new flight On the ‘Review and pay’ page, select ‘Add travel credit’ Follow the prompts to apply your Flight Credit Pay any remaining balance Book a trip with your Flight Credit Flight Credit terms and conditions This content can be expanded General rules Flight Credit is non-refundable, non-transferable, non-returnable, may not be redeemed for cash, check or credit (except where required by law) and has no implied warranties, including warranties of merchantability or fitness. Flight Credit is void if bought, sold or
[aa_travel_credit] on flights marketed and sold by American but operated by one of American’s codeshare or one world ® partners (i.e. flights designated with an AA*). Flight Credit is redeemable toward initial booking, the base air fare and directly associated taxes, fees and charges collected as part of the fare calculation. You may only redeem 1 Flight Credit for single-passenger trips on aa.com or through Reservations. In order to redeem up to 2 Flight Credits in a single transaction, you must contact Reservations. If the ticket price is greater than the value of the Flight Credit, you may pay the difference only with a credit card accepted by American. If the ticket price is less than the value of the Flight Credit, you can only use the value of Flight Credit needed for the current booking while remaining value will be issued as travel credit for future reservations. You may not use Flight Credit for products and / or services sold separately from the fare price or for taxes, fees or charges in connection with AAdvantage ® award travel, American Airlines Vacations℠ products or services or any other non-flight products and / or services sold by American. You may also like...",True
What is the difference between a Flight Credit and a Trip Credit?,normal,rag,2,0.0,REFUND,"To determine the difference between a Flight Credit and a Trip Credit, let's look at the relevant information provided:

- **Flight Credit**: This option applies to domestic and international flights. It allows passengers to pay for their flight using Trip Credit if the ticket price exceeds the value of the Trip Credit. The Trip Credit is then refunded to the passenger upon booking the new flight.

- **Trip Credit**: This option is available for all types of travel, including domestic and international flights, and is used to pay for travel expenses such as airfare, hotel, car rentals, etc., up to the value of the Trip Credit.

Therefore, the main difference lies in the scope of eligibility and how the credits are applied. Flight Credits apply specifically to flights, while Trip Credits cover various aspects of travel expenses. [doc_id_1]","['aa_travel_credit', 'aa_travel_credit']","REFUND

To determine the difference between a Flight Credit and a Trip Credit, let's look at the relevant information provided:

- **Flight Credit**: This option applies to domestic and international flights. It allows passengers to pay for their flight using Trip Credit if the ticket price exceeds the value of the Trip Credit. The Trip Credit is then refunded to the passenger upon booking the new flight.

- **Trip Credit**: This option is available for all types of travel, including domestic and international flights, and is used to pay for travel expenses such as airfare, hotel, car rentals, etc., up to the value of the Trip Credit.

Therefore, the main difference lies in the scope of eligibility and how the credits are applied. Flight Credits apply specifically to flights, while Trip Credits cover various aspects of travel expenses. [doc_id_1]",False
What is the difference between a Flight Credit and a Trip Credit?,normal,rag,2,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_travel_credit', 'aa_travel_credit']","REFUND

The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
What is the difference between a Flight Credit and a Trip Credit?,normal,rag,5,0.0,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit']","REFUND

The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
What is the difference between a Flight Credit and a Trip Credit?,normal,rag,5,0.7,REFUND,The Ticket is Eligible for a Full Refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit', 'aa_travel_credit']","REFUND

The Ticket is Eligible for a Full Refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
What is the difference between a Flight Credit and a Trip Credit?,normal,llm_only,NA,0.0,NO_REFUND,"A Flight Credit refers to a reward program offered by airlines that allows passengers to accumulate points for future flights, which can be redeemed for free travel. It's typically associated with frequent flyer programs like MileagePlus from American Airlines or SkyMiles from Delta Air Lines.

A Trip Credit, on the other hand, usually refers to a loyalty program where customers earn rewards for their entire trip, including hotel stays, car rentals, and dining experiences. These rewards might be redeemable for future trips or cash back at the end of the year. This type of credit is more common in hotels and some cruise lines but less so in airlines.

The main difference lies in how they're earned: flight credits are primarily tied to air travel, while trip credits encompass various aspects of a customer's stay.",NA,"NO_REFUND

A Flight Credit refers to a reward program offered by airlines that allows passengers to accumulate points for future flights, which can be redeemed for free travel. It's typically associated with frequent flyer programs like MileagePlus from American Airlines or SkyMiles from Delta Air Lines.

A Trip Credit, on the other hand, usually refers to a loyalty program where customers earn rewards for their entire trip, including hotel stays, car rentals, and dining experiences. These rewards might be redeemable for future trips or cash back at the end of the year. This type of credit is more common in hotels and some cruise lines but less so in airlines.

The main difference lies in how they're earned: flight credits are primarily tied to air travel, while trip credits encompass various aspects of a customer's stay.",NA
What is the difference between a Flight Credit and a Trip Credit?,normal,llm_only,NA,0.7,CREDIT,"A flight credit refers to points earned from using travel rewards for flights. It can be redeemed for future flights or cash back. A trip credit typically includes both flight credits and hotel credits, offering discounts across multiple travel categories like hotels, restaurants, and activities. The main difference lies in how they are structured: flight credits focus solely on airfare, while trip credits encompass a broader range of travel options.",NA,"[CREDIT]
A flight credit refers to points earned from using travel rewards for flights. It can be redeemed for future flights or cash back. A trip credit typically includes both flight credits and hotel credits, offering discounts across multiple travel categories like hotels, restaurants, and activities. The main difference lies in how they are structured: flight credits focus solely on airfare, while trip credits encompass a broader range of travel options.",NA
Can I change my flight destination without paying a change fee?,normal,retrieval_only,NA,NA,NO_REFUND,"Based on the retrieved policy text, this type of ticket/situation is not eligible for a refund. See: ['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule']","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule']","[aa_24_hour_refund_rule] offer special fares and discounts for group travel. Learn about Group & Meeting Travel Will I be charged to change a reservation made by a travel agency or another website? This content can be expanded You will not pay an extra fee to change a reservation made by a travel agency or another website if you change it on aa.com. Once you make changes, any future changes will need to be made on aa.com or through American Reservations. Learn about reservation service charges Why are revenue tickets on other airlines on a request basis only? This content can be expanded Revenue tickets on partner airlines booked on aa.com or the American app are only available on request because they must be confirmed with the other airline. This can take 24 hours or more. Some airlines may also require you to reconfirm your reservation after booking it on aa.com. Please check with the airline operating your flight for more information. Same-day flight change and standby Learn about same-day flight changes and standby What is same-day flight change? This content can be expanded Same-day flight change allows you to confirm a seat on a different flight on your day of departure on
[aa_cancellation_policy] offer special fares and discounts for group travel. Learn about Group & Meeting Travel Will I be charged to change a reservation made by a travel agency or another website? This content can be expanded You will not pay an extra fee to change a reservation made by a travel agency or another website if you change it on aa.com. Once you make changes, any future changes will need to be made on aa.com or through American Reservations. Learn about reservation service charges Why are revenue tickets on other airlines on a request basis only? This content can be expanded Revenue tickets on partner airlines booked on aa.com or the American app are only available on request because they must be confirmed with the other airline. This can take 24 hours or more. Some airlines may also require you to reconfirm your reservation after booking it on aa.com. Please check with the airline operating your flight for more information. Same-day flight change and standby Learn about same-day flight changes and standby What is same-day flight change? This content can be expanded Same-day flight change allows you to confirm a seat on a different flight on your day of departure on
[aa_24_hour_refund_rule] Reservations and tickets FAQs − Customer service − American Airlines Enable JavaScript Please enable JavaScript to fully experience this site. How to enable JavaScript Home FAQs Reservations and tickets – FAQs Reservations and tickets – FAQs Book and manage your trip How do I change or cancel my trip? This content can be expanded You have 24 hours from the time you first buy your ticket to make changes or cancel for a refund if you booked at least 2 days before departure. After 24 hours, refunds are not allowed for non-refundable fares. You can change or cancel your trip online in just a few steps. Change your trip Find your trip using your confirmation code or log in to your AAdvantage ® account. Click 'Change trip' in the menu. Choose a new flight that works for you. You can change your departure or arrival airport, your departure or arrival date, or both. Review and confirm your changes. Check your email for a confirmation of your new flight. Find your trip Log in to your account Important information Basic Economy tickets cannot be changed after 24 hours.* Travel must be completed within 1 year of the original ticket date. A
[aa_cancellation_policy] Reservations and tickets FAQs − Customer service − American Airlines Enable JavaScript Please enable JavaScript to fully experience this site. How to enable JavaScript Home FAQs Reservations and tickets – FAQs Reservations and tickets – FAQs Book and manage your trip How do I change or cancel my trip? This content can be expanded You have 24 hours from the time you first buy your ticket to make changes or cancel for a refund if you booked at least 2 days before departure. After 24 hours, refunds are not allowed for non-refundable fares. You can change or cancel your trip online in just a few steps. Change your trip Find your trip using your confirmation code or log in to your AAdvantage ® account. Click 'Change trip' in the menu. Choose a new flight that works for you. You can change your departure or arrival airport, your departure or arrival date, or both. Review and confirm your changes. Check your email for a confirmation of your new flight. Find your trip Log in to your account Important information Basic Economy tickets cannot be changed after 24 hours.* Travel must be completed within 1 year of the original ticket date. A
[aa_24_hour_refund_rule] date, or both. Review and confirm your changes. Check your email for a confirmation of your new flight. Find your trip Log in to your account Important information Basic Economy tickets cannot be changed after 24 hours.* Travel must be completed within 1 year of the original ticket date. A difference in ticket price may apply. *Changes for trips that begin in Europe are allowed with a fee (excludes Finland, Estonia, Latvia and Lithuania). Cancel your trip Find your trip using your confirmation code or log in to your AAdvantage ® account. Click 'Cancel trip' in the menu. You'll be prompted to confirm the cancellation. Click 'Cancel trip' to confirm. Check your email for your trip cancellation information. Find your trip Log in to your account Important information Keep the cancellation email if you’re issued a travel credit. It contains the ticket number and original confirmation code you’ll use to rebook a future flight. If you cancel your flight, any fees you paid for checked bags or seats at the airport are non-refundable. How do I find the value of my travel credit? This content can be expanded To check your travel credit balance, follow these steps: AAdvantage® members Log",True
Can I change my flight destination without paying a change fee?,normal,rag,2,0.0,ABSTAIN,"The user's question lacks specific details such as the ticket type, date of purchase, and whether the cancellation occurred within 24 hours. Therefore, based solely on the provided evidence, there isn't enough information to determine if a change fee would apply or if a refund could be obtained.","['aa_24_hour_refund_rule', 'aa_cancellation_policy']","ABSTAIN
The user's question lacks specific details such as the ticket type, date of purchase, and whether the cancellation occurred within 24 hours. Therefore, based solely on the provided evidence, there isn't enough information to determine if a change fee would apply or if a refund could be obtained.",False
Can I change my flight destination without paying a change fee?,normal,rag,2,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_24_hour_refund_rule', 'aa_cancellation_policy']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",False
Can I change my flight destination without paying a change fee?,normal,rag,5,0.0,REFUND,"Yes, you can change your flight destination without paying a change fee. The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described in the AA refund eligibility criteria. [aa_refund_eligibility]","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule']","REFUND
Yes, you can change your flight destination without paying a change fee. The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described in the AA refund eligibility criteria. [aa_refund_eligibility]",False
Can I change my flight destination without paying a change fee?,normal,rag,5,0.7,ABSTAIN,"The user's question is vague and lacks specific details such as the ticket type, whether it was bought less than 2 days before departure, or the reason for cancellation. Without this information, it's impossible to determine if a refund is possible or what the terms would be. Therefore, I am abstaining from making a determination based solely on the given evidence.","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_24_hour_refund_rule']","ABSTAIN
The user's question is vague and lacks specific details such as the ticket type, whether it was bought less than 2 days before departure, or the reason for cancellation. Without this information, it's impossible to determine if a refund is possible or what the terms would be. Therefore, I am abstaining from making a determination based solely on the given evidence.",False
Can I change my flight destination without paying a change fee?,normal,llm_only,NA,0.0,NO_REFUND,"The question does not provide sufficient information to determine whether a refund can be obtained for changing the flight destination without paying a change fee. The specifics such as the ticket type, booking time, and cancellation reason are missing. Therefore, it's impossible to make a definitive judgment based solely on this information.",NA,"NO_REFUND

The question does not provide sufficient information to determine whether a refund can be obtained for changing the flight destination without paying a change fee. The specifics such as the ticket type, booking time, and cancellation reason are missing. Therefore, it's impossible to make a definitive judgment based solely on this information.",NA
Can I change my flight destination without paying a change fee?,normal,llm_only,NA,0.7,CREDIT,"Yes, most airlines allow passengers to change their flight destinations for free, provided they meet certain conditions such as availability of the new flight and no restrictions due to travel insurance or other policies. However, some changes may incur fees depending on the airline's rules and the specifics of the original and new flights. It's best to check with the airline directly for the most accurate information before making any changes.",NA,"[CREDIT]
Yes, most airlines allow passengers to change their flight destinations for free, provided they meet certain conditions such as availability of the new flight and no restrictions due to travel insurance or other policies. However, some changes may incur fees depending on the airline's rules and the specifics of the original and new flights. It's best to check with the airline directly for the most accurate information before making any changes.",NA
I want a refund for my flight last week.,ambiguous,retrieval_only,NA,NA,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,rag,2,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,rag,2,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,rag,5,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,rag,5,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,llm_only,NA,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
I want a refund for my flight last week.,ambiguous,llm_only,NA,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
